ano;mes;fmun;hom_doloso;latrocinio;lesao_corp_morte;hom_por_interv_policial;date;letalidade_violenta
2024;1;Rio de Janeiro;70;2;2;20;2024-01-01;94
2024;2;Rio de Janeiro;71;3;0;20;2024-02-01;94
2024;3;Rio de Janeiro;93;7;2;17;2024-03-01;119
2024;4;Rio de Janeiro;87;1;1;38;2024-04-01;127
2024;5;Rio de Janeiro;85;6;3;51;2024-05-01;145
2024;6;Rio de Janeiro;80;4;4;43;2024-06-01;131
2024;7;Rio de Janeiro;69;3;3;33;2024-07-01;108
2024;8;Rio de Janeiro;79;2;0;29;2024-08-01;110
2024;9;Rio de Janeiro;64;4;3;25;2024-09-01;96
2024;10;Rio de Janeiro;77;2;3;31;2024-10-01;113
2024;11;Rio de Janeiro;76;4;1;15;2024-11-01;96
2024;12;Rio de Janeiro;112;6;7;17;2024-12-01;142
